City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
2,Dingle,PH,74.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
4,Coihaique,CL,78.66,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
12,Piacabucu,BR,79.23,clear sky,-10.4056,-36.4344,Piaçabuçu News
15,Rikitea,PF,76.3,broken clouds,-23.1203,-134.9692,People ThankYou
18,Valle Nacional,MX,86.31,clear sky,17.7833,-96.3167,Cabaña San Mateo Yetla
23,Rosita,NI,79.92,few clouds,13.9268,-84.4032,Hospedaje Zeledón
30,Muisne,EC,80.71,broken clouds,0.6,-80.0333,Quinta Samay
32,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,Jambi,ID,73.54,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
39,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
40,Atuona,PF,79.21,few clouds,-9.8,-139.0333,Villa Enata
51,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
54,Ratnagiri,IN,72.07,overcast clouds,16.9833,73.3,Hotel Landmark
59,Nova Soure,BR,77.74,scattered clouds,-11.2333,-38.4833,Branca Hotel
60,Mazagao,BR,84.25,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
61,San Onofre,CO,80.96,scattered clouds,9.7359,-75.5263,Hotel Sinai
64,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
65,Butaritari,KI,83.05,light rain,3.0707,172.7902,Isles Sunset Lodge
70,Guapore,BR,71.15,few clouds,-28.8456,-51.8903,Hotel Topo Gigio
71,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Hilo,US,78.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
74,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Gorontalo,ID,75.38,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
79,San Cristobal,VE,77.11,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
82,Port Blair,IN,77.4,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
83,Arraial Do Cabo,BR,74.39,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
85,Kapaa,US,71.92,mist,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
88,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
90,Brazzaville,CG,75.45,overcast clouds,-4.2658,15.2832,Hotel Muesse
94,Dolores Hidalgo,MX,75.87,broken clouds,21.1561,-100.9308,Hotel Hidalgo
99,Pozo Colorado,PY,91.38,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
100,Bandarbeyla,SO,75.83,clear sky,9.4942,50.8122,JABIR HOTEL
104,Poum,NC,81.63,clear sky,-20.2333,164.0167,Gîte kajeon
105,Alice Springs,AU,71.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
106,Bengkulu,ID,74.97,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
111,Puerto Carreno,CO,88.61,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
112,Amahai,ID,78.58,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
113,Santiago Del Estero,AR,88.0,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
