City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tasiilaq,GL,30.36,overcast clouds,65.6145,-37.6368,The Red House
1,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
2,Dingle,PH,74.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
3,Lebu,CL,61.92,clear sky,-37.6167,-73.65,Hostal Las Lilas
4,Coihaique,CL,78.66,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
5,Mataura,NZ,61.48,clear sky,-46.1927,168.8643,Ellie's Villa
6,Songjianghe,CN,11.37,scattered clouds,42.1859,127.479,Sijisheng Fashion Guest House
7,Cape Town,ZA,62.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
9,Osterburg,DE,34.5,overcast clouds,52.7833,11.7667,Altmarkhotel
10,La Crau,FR,47.17,clear sky,43.1498,6.0743,Hôtel Kyriad Toulon La Garde
11,Kirkwall,GB,41.05,few clouds,58.9848,-2.9587,Kirkwall Hotel
12,Piacabucu,BR,79.23,clear sky,-10.4056,-36.4344,Piaçabuçu News
13,Coos Bay,US,52.23,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
14,Salta,AR,64.58,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
15,Rikitea,PF,76.3,broken clouds,-23.1203,-134.9692,People ThankYou
17,Tuatapere,NZ,61.83,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
18,Valle Nacional,MX,86.31,clear sky,17.7833,-96.3167,Cabaña San Mateo Yetla
19,Kamien Pomorski,PL,30.94,overcast clouds,53.9685,14.7726,Mieszko II
20,Kumbo,CM,63.16,overcast clouds,6.2,10.6667,Western Inn Resort
21,Sitka,US,33.69,overcast clouds,57.0531,-135.33,Westmark Sitka
22,Bluff,NZ,61.81,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
23,Rosita,NI,79.92,few clouds,13.9268,-84.4032,Hospedaje Zeledón
24,Fairbanks,US,26.56,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
25,Golden,US,47.84,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
26,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
29,Longyearbyen,SJ,35.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
30,Muisne,EC,80.71,broken clouds,0.6,-80.0333,Quinta Samay
32,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
33,Barrow,US,24.82,clear sky,71.2906,-156.7887,King Eider Inn
34,Katsuura,JP,55.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
35,Kodiak,US,38.71,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
