City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,30.36,78,98,8.88,overcast clouds
1,Pangai,TO,-19.8,-174.35,82.51,65,75,10.36,broken clouds
2,Dingle,PH,10.9995,122.6711,74.32,87,96,5.06,overcast clouds
3,Lebu,CL,-37.6167,-73.65,61.92,77,3,13.47,clear sky
4,Coihaique,CL,-45.5752,-72.0662,78.66,37,7,6.76,clear sky
5,Mataura,NZ,-46.1927,168.8643,61.48,49,4,3.44,clear sky
6,Songjianghe,CN,42.1859,127.479,11.37,95,41,3.06,scattered clouds
7,Cape Town,ZA,-33.9258,18.4232,62.1,69,2,3.0,clear sky
8,Chokurdakh,RU,70.6333,147.9167,-23.46,97,100,2.17,overcast clouds
9,Osterburg,DE,52.7833,11.7667,34.5,83,100,9.51,overcast clouds
10,La Crau,FR,43.1498,6.0743,47.17,49,0,1.99,clear sky
11,Kirkwall,GB,58.9848,-2.9587,41.05,81,20,10.36,few clouds
12,Piacabucu,BR,-10.4056,-36.4344,79.23,78,1,12.84,clear sky
13,Coos Bay,US,43.3665,-124.2179,52.23,95,90,8.05,overcast clouds
14,Salta,AR,-24.7859,-65.4117,64.58,88,100,1.01,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,76.3,73,67,8.5,broken clouds
16,Pevek,RU,69.7008,170.3133,-12.01,94,100,13.96,overcast clouds
17,Tuatapere,NZ,-46.1333,167.6833,61.83,52,1,2.26,clear sky
18,Valle Nacional,MX,17.7833,-96.3167,86.31,61,0,3.87,clear sky
19,Kamien Pomorski,PL,53.9685,14.7726,30.94,79,95,9.19,overcast clouds
20,Kumbo,CM,6.2,10.6667,63.16,51,100,4.27,overcast clouds
21,Sitka,US,57.0531,-135.33,33.69,75,90,4.61,overcast clouds
22,Bluff,NZ,-46.6,168.3333,61.81,54,2,5.1,clear sky
23,Rosita,NI,13.9268,-84.4032,79.92,83,24,2.95,few clouds
24,Fairbanks,US,64.8378,-147.7164,26.56,73,90,4.61,overcast clouds
25,Golden,US,39.7555,-105.2211,47.84,41,100,1.99,overcast clouds
26,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,75,75,21.0,broken clouds
27,Provideniya,RU,64.3833,-173.3,14.36,73,75,17.9,broken clouds
28,Krasnoselkup,RU,65.7,82.4667,-21.17,91,60,10.74,broken clouds
29,Longyearbyen,SJ,78.2186,15.6401,35.44,64,75,19.57,broken clouds
30,Muisne,EC,0.6,-80.0333,80.71,81,77,7.38,broken clouds
31,Talnakh,RU,69.4865,88.3972,-9.8,99,100,12.3,light snow
32,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,27,9.33,scattered clouds
33,Barrow,US,71.2906,-156.7887,24.82,74,1,19.57,clear sky
34,Katsuura,JP,35.1333,140.3,55.18,84,99,15.39,overcast clouds
35,Kodiak,US,57.79,-152.4072,38.71,87,90,17.27,moderate rain
36,Jambi,ID,-1.6,103.6167,73.54,98,100,3.27,overcast clouds
37,Jamestown,US,42.097,-79.2353,36.99,71,90,21.0,light snow
38,Saint-Francois,FR,46.4154,3.9054,39.47,92,90,5.75,light rain
39,Kaeo,NZ,-35.1,173.7833,73.33,81,100,7.43,overcast clouds
40,Atuona,PF,-9.8,-139.0333,79.21,67,13,20.11,few clouds
41,Ketchikan,US,55.3422,-131.6461,30.67,80,1,6.91,clear sky
42,Edd,ER,13.9297,41.6925,80.08,60,0,18.32,clear sky
43,Dongsheng,CN,39.8161,109.9776,24.96,37,76,5.57,broken clouds
44,Klaksvik,FO,62.2266,-6.589,41.92,70,82,32.17,broken clouds
45,Punta Arenas,CL,-53.15,-70.9167,51.12,85,100,15.75,light rain
46,Tuktoyaktuk,CA,69.4541,-133.0374,8.64,83,100,10.42,overcast clouds
47,Hobart,AU,-42.8794,147.3294,56.12,86,75,1.01,light intensity shower rain
48,Ushuaia,AR,-54.8,-68.3,48.43,82,100,7.7,overcast clouds
49,Castro,BR,-24.7911,-50.0119,60.49,95,81,5.61,broken clouds
50,Cidreira,BR,-30.1811,-50.2056,68.72,81,22,15.64,few clouds
51,Saint-Joseph,RE,-21.3667,55.6167,75.58,79,17,8.21,few clouds
52,North Platte,US,41.1239,-100.7654,31.98,49,1,3.0,clear sky
53,Ribeira Grande,PT,38.5167,-28.7,64.83,77,99,15.95,overcast clouds
54,Ratnagiri,IN,16.9833,73.3,72.07,83,99,3.67,overcast clouds
55,Nelson Bay,AU,-32.7167,152.15,68.0,94,100,1.99,moderate rain
56,Bredasdorp,ZA,-34.5322,20.0403,52.29,78,11,3.6,few clouds
57,Qasigiannguit,GL,68.8193,-51.1922,19.65,83,85,4.56,overcast clouds
58,Bethel,US,41.3712,-73.414,57.49,88,75,5.99,broken clouds
59,Nova Soure,BR,-11.2333,-38.4833,77.74,73,40,13.67,scattered clouds
60,Mazagao,BR,-0.115,-51.2894,84.25,86,94,2.82,moderate rain
61,San Onofre,CO,9.7359,-75.5263,80.96,82,28,8.52,scattered clouds
62,New Norfolk,AU,-42.7826,147.0587,55.76,65,100,3.0,overcast clouds
63,Plouzane,FR,48.3833,-4.6167,50.09,82,90,4.61,overcast clouds
64,Vaini,TO,-21.2,-175.2,82.56,83,75,10.36,broken clouds
65,Butaritari,KI,3.0707,172.7902,83.05,77,97,14.32,light rain
66,Hami,CN,42.8,93.45,28.9,53,99,9.06,overcast clouds
67,Hay River,CA,60.8156,-115.7999,-8.25,93,16,3.78,few clouds
68,Hvide Sande,DK,56.0045,8.1294,35.1,87,100,26.06,overcast clouds
69,Walvis Bay,NA,-22.9575,14.5053,60.1,94,0,5.79,clear sky
70,Guapore,BR,-28.8456,-51.8903,71.15,92,17,5.5,few clouds
71,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,52,9.08,broken clouds
72,Ostrovnoy,RU,68.0531,39.5131,14.29,92,97,21.63,overcast clouds
73,Hilo,US,19.7297,-155.09,78.28,91,90,6.91,heavy intensity rain
74,Mahebourg,MU,-20.4081,57.7,78.26,78,20,8.05,few clouds
75,Dikson,RU,73.5069,80.5464,-16.01,100,70,3.13,broken clouds
76,Gorontalo,ID,0.5412,123.0595,75.38,90,100,1.86,overcast clouds
77,Chuy,UY,-33.6971,-53.4616,66.78,77,5,8.79,clear sky
78,Bagan,RU,54.1001,77.6646,24.89,90,100,13.27,overcast clouds
79,San Cristobal,VE,7.7669,-72.225,77.11,56,43,2.24,scattered clouds
80,Saskylakh,RU,71.9167,114.0833,-17.46,97,97,6.85,overcast clouds
81,Albany,US,42.6001,-73.9662,57.78,87,100,1.99,light rain
82,Port Blair,IN,11.6667,92.75,77.4,69,72,12.35,broken clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,74.39,85,80,3.04,broken clouds
84,Nalut,LY,30.3333,10.85,44.01,47,0,16.13,clear sky
85,Kapaa,US,22.0752,-159.319,71.92,80,90,1.01,mist
